copy,audience,keywords,time_of_day,clicked
Hurry up!,elderly,exclusive,1,0
Best in town!,students,limited,1,1
Hurry up!,students,discount,2,1
Best in town!,teens,bestseller,2,0
Don't miss out!,parents,offer,2,1
Hurry up!,teens,exclusive,2,1
Don't miss out!,elderly,offer,1,1
Don't miss out!,teens,offer,3,0
Limited offer!,elderly,discount,1,1
50% off!,parents,offer,2,1
Hurry up!,elderly,discount,2,0
Hurry up!,adults,limited,2,1
Buy now!,parents,limited,2,0
Hurry up!,adults,bestseller,2,1
Buy now!,teens,discount,2,0
50% off!,parents,sale,2,1
Best in town!,teens,exclusive,0,1
Buy now!,parents,exclusive,0,0
Limited offer!,parents,sale,0,0
Limited offer!,adults,bestseller,3,0
Limited offer!,teens,discount,0,0
Hurry up!,adults,discount,1,0
50% off!,teens,bestseller,2,1
Buy now!,students,sale,0,0
Buy now!,students,discount,0,0
50% off!,parents,discount,1,0
Best in town!,students,discount,1,1
50% off!,elderly,bestseller,1,1
Best in town!,teens,exclusive,1,0
50% off!,adults,limited,1,1
Buy now!,students,offer,2,1
Limited offer!,teens,limited,0,1
50% off!,elderly,sale,2,1
50% off!,students,bestseller,1,1
Hurry up!,students,discount,0,0
Don't miss out!,elderly,limited,0,1
Don't miss out!,students,bestseller,2,1
Limited offer!,students,sale,2,0
Limited offer!,adults,sale,0,0
Hurry up!,adults,bestseller,1,0
Don't miss out!,students,bestseller,1,0
50% off!,adults,sale,3,0
50% off!,teens,exclusive,0,1
Buy now!,adults,bestseller,1,0
Limited offer!,parents,discount,1,1
Hurry up!,teens,limited,2,1
50% off!,adults,offer,3,0
50% off!,students,offer,3,0
Best in town!,adults,limited,2,1
Buy now!,teens,bestseller,0,0
Buy now!,parents,bestseller,0,1
Limited offer!,teens,offer,2,0
Best in town!,students,discount,1,1
Hurry up!,teens,limited,1,1
Best in town!,adults,discount,1,1
Best in town!,parents,discount,1,1
Buy now!,teens,bestseller,2,1
Limited offer!,parents,limited,0,1
Best in town!,parents,exclusive,0,1
Hurry up!,parents,offer,1,1
Don't miss out!,teens,exclusive,2,1
Limited offer!,teens,bestseller,2,0
50% off!,students,exclusive,0,0
50% off!,parents,offer,0,1
Hurry up!,students,exclusive,2,1
Buy now!,parents,exclusive,0,1
Don't miss out!,parents,exclusive,1,1
Best in town!,parents,discount,0,1
Best in town!,teens,exclusive,2,0
Don't miss out!,students,discount,2,1
Limited offer!,adults,sale,0,0
Don't miss out!,teens,exclusive,3,0
Hurry up!,parents,discount,2,0
Don't miss out!,adults,discount,2,0
Don't miss out!,parents,offer,0,1
Don't miss out!,students,limited,2,1
Best in town!,elderly,exclusive,1,1
50% off!,students,limited,2,1
50% off!,students,bestseller,3,0
Best in town!,adults,offer,0,0
50% off!,parents,offer,1,1
Best in town!,parents,offer,2,0
Don't miss out!,elderly,discount,1,1
Buy now!,elderly,exclusive,2,1
Hurry up!,elderly,sale,2,0
50% off!,elderly,sale,1,1
Don't miss out!,parents,sale,1,1
50% off!,teens,limited,0,1
Buy now!,elderly,bestseller,0,1
Hurry up!,students,discount,0,1
Hurry up!,students,offer,2,1
Best in town!,adults,sale,0,1
Best in town!,adults,bestseller,2,1
Don't miss out!,teens,discount,2,0
Hurry up!,teens,discount,0,1
Limited offer!,adults,discount,2,1
Buy now!,parents,bestseller,1,1
Don't miss out!,teens,bestseller,0,1
Don't miss out!,teens,limited,0,1
Buy now!,teens,sale,0,1
Limited offer!,adults,offer,1,1
Hurry up!,adults,discount,2,0
Buy now!,students,bestseller,0,1
Buy now!,students,bestseller,2,0
Limited offer!,adults,offer,2,0
Don't miss out!,parents,offer,3,0
50% off!,adults,limited,1,1
Hurry up!,adults,bestseller,2,1
Hurry up!,adults,sale,2,0
Limited offer!,students,sale,1,1
Best in town!,teens,offer,2,0
Don't miss out!,parents,bestseller,2,1
Hurry up!,adults,sale,1,1
