store,copy,audience,age_of_audicence,product,keywords,time_of_day,clicked
Sams,50% off!,teens,11,2,sale,20,0
Costco,Best in town!,teens,11,2,exclusive,11,0
Costco,50% off!,teens,11,2,offer,13,1
Wal-Mart,Limited offer!,parents,35,1,sale,4,1
Amazon,50% off!,elderly,70,5,offer,1,0
Costco,Limited offer!,adults,36,3,sale,16,1
Sams,Don't miss out!,parents,35,1,limited,15,1
Amazon,50% off!,teens,11,2,exclusive,8,0
Wal-Mart,Best in town!,students,23,1,discount,14,0
Costco,Buy now!,elderly,70,5,bestseller,22,1
Amazon,50% off!,parents,35,1,sale,10,1
Costco,50% off!,teens,11,2,discount,16,0
Wal-Mart,Limited offer!,adults,36,3,sale,13,0
Amazon,Limited offer!,elderly,70,5,exclusive,1,1
Wal-Mart,Best in town!,elderly,70,5,sale,22,0
Wal-Mart,Buy now!,students,23,1,limited,10,1
Wal-Mart,50% off!,teens,11,2,sale,15,0
Amazon,Buy now!,students,23,1,exclusive,22,1
Amazon,Limited offer!,adults,36,3,limited,23,1
Sams,Don't miss out!,parents,35,1,discount,23,0
Costco,Best in town!,parents,35,1,limited,10,0
Sams,Buy now!,adults,36,3,discount,2,0
Costco,Don't miss out!,teens,11,2,discount,22,1
Costco,Best in town!,elderly,70,5,offer,20,1
Costco,Don't miss out!,students,23,1,sale,0,1
Wal-Mart,50% off!,students,23,1,sale,13,1
Amazon,Best in town!,students,23,1,exclusive,16,1
Sams,Buy now!,elderly,70,5,sale,7,1
Wal-Mart,Best in town!,elderly,70,5,discount,20,1
Costco,Buy now!,elderly,70,5,offer,10,1
Wal-Mart,Hurry up!,parents,35,1,offer,18,1
Costco,Hurry up!,parents,35,1,offer,19,1
Wal-Mart,Best in town!,adults,36,3,discount,15,0
Sams,Buy now!,teens,11,2,bestseller,17,1
Sams,Best in town!,adults,36,3,limited,7,1
Amazon,Don't miss out!,elderly,70,5,limited,2,1
Costco,Hurry up!,elderly,70,5,sale,11,1
Costco,50% off!,students,23,1,discount,21,1
Costco,Best in town!,elderly,70,5,discount,7,1
Sams,Buy now!,students,23,1,limited,5,0
Amazon,Best in town!,students,23,1,limited,8,1
Sams,Best in town!,students,23,1,bestseller,3,1
Wal-Mart,Hurry up!,adults,36,3,limited,20,1
Costco,Limited offer!,parents,35,1,limited,18,0
Costco,Best in town!,parents,35,1,limited,16,0
Costco,Limited offer!,parents,35,1,sale,16,1
Costco,50% off!,adults,36,3,bestseller,4,1
Wal-Mart,50% off!,adults,36,3,sale,0,1
Costco,Don't miss out!,parents,35,1,sale,8,1
Amazon,Best in town!,adults,36,3,bestseller,22,0
Sams,Best in town!,students,23,1,exclusive,2,0
Costco,Hurry up!,adults,36,3,sale,19,0
Wal-Mart,Hurry up!,parents,35,1,discount,21,0
Wal-Mart,Best in town!,elderly,70,5,bestseller,18,0
Sams,Don't miss out!,teens,11,2,offer,20,1
Sams,50% off!,teens,11,2,limited,20,0
Amazon,Buy now!,students,23,1,bestseller,23,0
Amazon,Don't miss out!,elderly,70,5,exclusive,4,1
Amazon,Limited offer!,adults,36,3,offer,10,1
Amazon,50% off!,teens,11,2,offer,0,0
Sams,Limited offer!,students,23,1,exclusive,2,1
Wal-Mart,Limited offer!,students,23,1,limited,17,1
Costco,Hurry up!,elderly,70,5,offer,17,0
Costco,Best in town!,students,23,1,sale,0,1
Costco,50% off!,students,23,1,sale,19,1
Wal-Mart,50% off!,teens,11,2,offer,12,0
Wal-Mart,Don't miss out!,teens,11,2,offer,18,1
Costco,Don't miss out!,parents,35,1,discount,22,0
Costco,Don't miss out!,adults,36,3,bestseller,3,0
Costco,Don't miss out!,parents,35,1,exclusive,16,1
Wal-Mart,Limited offer!,parents,35,1,discount,2,1
Sams,Best in town!,teens,11,2,discount,23,1
Wal-Mart,Buy now!,parents,35,1,sale,19,0
Sams,Limited offer!,adults,36,3,sale,6,1
Wal-Mart,Hurry up!,teens,11,2,limited,6,1
Sams,Limited offer!,teens,11,2,sale,23,1
Sams,Limited offer!,parents,35,1,exclusive,15,0
Sams,Don't miss out!,students,23,1,bestseller,7,1
Costco,50% off!,adults,36,3,offer,4,1
Sams,Best in town!,parents,35,1,bestseller,19,0
Sams,Hurry up!,parents,35,1,exclusive,18,1
Sams,50% off!,adults,36,3,exclusive,16,1
Wal-Mart,Best in town!,students,23,1,limited,7,0
Costco,50% off!,elderly,70,5,offer,23,0
Costco,Limited offer!,teens,11,2,offer,10,0
Costco,Limited offer!,elderly,70,5,discount,6,1
Costco,50% off!,students,23,1,offer,20,0
Wal-Mart,Don't miss out!,teens,11,2,exclusive,18,1
Sams,Buy now!,adults,36,3,limited,4,1
Wal-Mart,Limited offer!,students,23,1,discount,16,0
Amazon,Limited offer!,parents,35,1,bestseller,5,0
Wal-Mart,50% off!,elderly,70,5,bestseller,5,1
Sams,50% off!,students,23,1,offer,11,0
Amazon,Best in town!,parents,35,1,discount,12,0
Amazon,50% off!,teens,11,2,offer,21,0
Wal-Mart,Best in town!,teens,11,2,sale,8,1
Wal-Mart,Buy now!,teens,11,2,discount,5,0
Costco,Limited offer!,teens,11,2,offer,2,0
Costco,Best in town!,adults,36,3,offer,20,1
Wal-Mart,Don't miss out!,students,23,1,offer,3,0
Sams,Buy now!,students,23,1,exclusive,1,1
Sams,Best in town!,adults,36,3,limited,15,0
Amazon,Buy now!,elderly,70,5,discount,11,1
Amazon,Best in town!,adults,36,3,exclusive,11,1
Amazon,Best in town!,adults,36,3,bestseller,17,0
Sams,Best in town!,elderly,70,5,offer,10,1
