copy,audience,keywords,time_of_day,clicked
Best in town!,elderly,offer,15,1
Don't miss out!,students,limited,10,1
Hurry up!,parents,limited,22,1
Don't miss out!,elderly,bestseller,15,1
Don't miss out!,adults,limited,20,1
Hurry up!,adults,sale,9,1
Buy now!,teens,bestseller,9,1
Limited offer!,parents,exclusive,18,1
Buy now!,students,sale,12,0
Don't miss out!,teens,bestseller,18,0
Buy now!,teens,bestseller,8,1
Hurry up!,teens,bestseller,21,0
Limited offer!,students,exclusive,9,0
Hurry up!,elderly,sale,21,0
Don't miss out!,parents,discount,1,1
Hurry up!,elderly,bestseller,19,0
Best in town!,students,limited,3,0
50% off!,teens,bestseller,1,0
Limited offer!,adults,sale,6,1
Don't miss out!,adults,exclusive,8,0
Don't miss out!,elderly,discount,18,1
Buy now!,parents,offer,18,0
Hurry up!,students,offer,18,1
Limited offer!,teens,discount,2,0
Best in town!,students,bestseller,13,0
50% off!,teens,discount,20,1
Buy now!,adults,offer,3,0
Limited offer!,elderly,sale,6,1
Best in town!,students,offer,18,1
Hurry up!,elderly,sale,11,1
Best in town!,students,limited,12,0
Limited offer!,parents,limited,3,0
Don't miss out!,elderly,limited,0,1
50% off!,students,exclusive,11,0
Buy now!,teens,discount,22,1
Don't miss out!,elderly,bestseller,13,1
Limited offer!,elderly,sale,4,0
Buy now!,adults,exclusive,12,0
Buy now!,students,discount,8,0
Hurry up!,parents,sale,4,0
Buy now!,students,exclusive,11,0
Don't miss out!,elderly,discount,19,1
Hurry up!,parents,discount,17,0
Buy now!,adults,offer,5,1
Limited offer!,teens,sale,12,0
Hurry up!,students,offer,22,1
50% off!,elderly,limited,6,0
Limited offer!,students,discount,19,1
Don't miss out!,elderly,limited,6,0
Hurry up!,parents,offer,20,1
Hurry up!,elderly,exclusive,22,0
Don't miss out!,teens,exclusive,14,0
Don't miss out!,students,offer,0,1
Best in town!,elderly,offer,13,1
Hurry up!,adults,sale,0,0
Don't miss out!,parents,sale,15,0
Best in town!,elderly,discount,18,1
Don't miss out!,students,sale,4,1
Best in town!,students,bestseller,5,0
Buy now!,parents,bestseller,7,0
