Hour of day,Year,Day,Day of Year,Hour,Latitude,Longitude,Month,Ne/cm-3,O+,N+,hmF2,Tec,foF2
1,2023,1,121,0,37.5402,137.3053,5,246239,974,20,279.5,16.91,10.754
1.2,2023,1,121,0,37.5402,137.3053,5,254747,974,20,282.2,16.93,10.837
1.5,2023,1,121,0,37.5402,137.3053,5,263843,974,20,285,16.92,10.925
1.8,2023,1,121,0,37.5402,137.3053,5,273353,974,21,287.8,16.89,11.015
2,2023,1,121,0,37.5402,137.3053,5,283049,974,21,290.4,16.83,11.107
2.2,2023,1,121,0,37.5402,137.3053,5,292673,974,21,292.9,16.74,11.196
2.5,2023,1,121,0,37.5402,137.3053,5,301931,974,22,295.2,16.62,11.28
2.8,2023,1,121,0,37.5402,137.3053,5,310533,973,22,297.3,16.47,11.356
3,2023,1,121,0,37.5402,137.3053,5,318201,973,23,299.1,16.36,11.422
3.2,2023,1,121,0,37.5402,137.3053,5,324690,973,23,300.6,16.16,11.476
3.5,2023,1,121,0,37.5402,137.3053,5,329820,972,24,301.7,15.93,11.519
3.8,2023,1,121,0,37.5402,137.3053,5,333476,971,25,302.5,15.71,11.548
4,2023,1,121,0,37.5402,137.3053,5,335614,971,26,303,15.49,11.566
4.2,2023,1,121,0,37.5402,137.3053,5,336263,970,26,303.1,15.31,11.572
4.5,2023,1,121,0,37.5402,137.3053,5,335520,969,27,302.9,15.15,11.569
4.8,2023,1,121,0,37.5402,137.3053,5,333526,969,28,302.4,15.03,11.558
5,2023,1,121,0,37.5402,137.3053,5,330459,968,28,301.6,14.96,11.539
5.2,2023,1,121,0,37.5402,137.3053,5,326507,967,29,300.6,14.92,11.515
5.5,2023,1,121,0,37.5402,137.3053,5,321867,967,30,299.4,14.79,11.485
5.8,2023,1,121,0,37.5402,137.3053,5,316718,966,30,298.1,14.77,11.45
6,2023,1,121,0,37.5402,137.3053,5,311221,966,31,296.7,14.74,11.41
6.2,2023,1,121,0,37.5402,137.3053,5,305516,965,31,295.3,14.71,11.364
6.5,2023,1,121,0,37.5402,137.3053,5,299722,965,31,293.9,14.64,11.31
6.8,2023,1,121,0,37.5402,137.3053,5,293933,964,32,292.6,14.52,11.247
7,2023,1,121,0,37.5402,137.3053,5,288234,964,32,291.4,14.34,11.174
7.2,2023,1,121,0,37.5402,137.3053,5,282691,964,32,290.4,14.09,11.09
7.5,2023,1,121,0,37.5402,137.3053,5,277371,964,32,289.6,13.75,10.993
7.8,2023,1,121,0,37.5402,137.3053,5,272331,964,32,289.1,13.33,10.884
8,2023,1,121,0,37.5402,137.3053,5,267641,964,32,288.9,12.82,10.762
8.2,2023,1,121,0,37.5402,137.3053,5,263368,964,32,289,12.24,10.629
8.5,2023,1,121,0,37.5402,137.3053,5,259589,964,32,289.5,11.58,10.487
8.8,2023,1,121,0,37.5402,137.3053,5,256389,964,31,290.3,10.87,10.339
9,2023,1,121,0,37.5402,137.3053,5,253855,964,31,291.5,10.12,10.188
9.2,2023,1,121,0,37.5402,137.3053,5,252085,964,31,293.1,9.33,10.037
9.5,2023,1,121,0,37.5402,137.3053,5,251175,964,31,294.9,8.55,9.889
9.8,2023,1,121,0,37.5402,137.3053,5,251218,963,31,297.2,7.79,9.75
10,2023,1,121,0,37.5402,137.3053,5,252299,963,30,299.7,7.09,9.621
10.2,2023,1,121,0,37.5402,137.3053,5,254484,962,30,302.5,6.41,9.505
10.5,2023,1,121,0,37.5402,137.3053,5,257815,962,31,305.6,5.8,9.404
10.8,2023,1,121,0,37.5402,137.3053,5,262297,961,31,308.9,5.27,9.317
11,2023,1,121,0,37.5402,137.3053,5,267890,960,31,312.3,4.81,9.245
11.2,2023,1,121,0,37.5402,137.3053,5,274501,959,32,315.9,4.4,9.186
11.5,2023,1,121,0,37.5402,137.3053,5,281985,957,32,319.6,4.04,9.138
11.8,2023,1,121,0,37.5402,137.3053,5,290137,956,33,323.3,3.72,9.097
12,2023,1,121,0,37.5402,137.3053,5,298710,954,34,327,3.43,9.061
12.2,2023,1,121,0,37.5402,137.3053,5,307421,953,34,330.6,3.17,9.027
12.5,2023,1,121,0,37.5402,137.3053,5,315971,951,35,334.2,2.93,8.993
12.8,2023,1,121,0,37.5402,137.3053,5,324063,950,36,337.6,2.7,8.955
13,2023,1,121,0,37.5402,137.3053,5,331427,949,36,340.9,2.5,8.912
13.2,2023,1,121,0,37.5402,137.3053,5,337829,948,36,344,2.3,8.863
13.5,2023,1,121,0,37.5402,137.3053,5,343082,947,36,346.8,2.12,8.808
13.8,2023,1,121,0,37.5402,137.3053,5,347053,947,35,349.3,1.96,8.748
14,2023,1,121,0,37.5402,137.3053,5,349654,946,35,351.5,1.8,8.682
14.2,2023,1,121,0,37.5402,137.3053,5,350830,946,34,353.4,1.66,8.612
14.5,2023,1,121,0,37.5402,137.3053,5,350553,945,33,354.9,1.54,8.537
14.8,2023,1,121,0,37.5402,137.3053,5,348806,945,32,356.1,1.43,8.459
15,2023,1,121,0,37.5402,137.3053,5,345235,945,31,356.8,1.33,8.377
15.2,2023,1,121,0,37.5402,137.3053,5,340049,945,30,357.2,1.26,8.291
15.5,2023,1,121,0,37.5402,137.3053,5,333327,944,29,357.1,1.2,8.199
15.8,2023,1,121,0,37.5402,137.3053,5,325067,944,29,356.6,1.16,8.102
16,2023,1,121,0,37.5402,137.3053,5,315307,944,28,355.7,1.15,7.997
16.2,2023,1,121,0,37.5402,137.3053,5,304139,944,28,354.4,1.15,7.884
16.5,2023,1,121,0,37.5402,137.3053,5,291740,944,28,352.6,1.18,7.764
16.8,2023,1,121,0,37.5402,137.3053,5,278366,944,28,350.4,1.24,7.636
17,2023,1,121,0,37.5402,137.3053,5,264352,944,28,347.9,1.32,7.505
17.2,2023,1,121,0,37.5402,137.3053,5,250098,945,28,344.9,1.43,7.372
17.5,2023,1,121,0,37.5402,137.3053,5,236040,946,28,341.6,1.57,7.244
17.8,2023,1,121,0,37.5402,137.3053,5,222611,946,27,338,1.74,7.125
18,2023,1,121,0,37.5402,137.3053,5,210214,948,27,334,1.94,7.023
18.2,2023,1,121,0,37.5402,137.3053,5,199188,949,27,329.8,2.18,6.943
18.5,2023,1,121,0,37.5402,137.3053,5,189784,950,26,325.4,2.46,6.895
18.8,2023,1,121,0,37.5402,137.3053,5,182159,952,26,320.8,2.78,6.882
19,2023,1,121,0,37.5402,137.3053,5,176368,954,25,316.1,3.15,6.91
19.2,2023,1,121,0,37.5402,137.3053,5,172378,956,24,311.3,3.59,6.981
19.5,2023,1,121,0,37.5402,137.3053,5,170075,957,24,306.6,4.11,7.097
19.8,2023,1,121,0,37.5402,137.3053,5,169278,959,23,301.8,4.71,7.256
20,2023,1,121,0,37.5402,137.3053,5,169760,961,22,297.1,5.38,7.454
20.2,2023,1,121,0,37.5402,137.3053,5,171271,963,22,292.6,6.11,7.685
20.5,2023,1,121,0,37.5402,137.3053,5,173551,964,21,288.3,6.91,7.941
20.8,2023,1,121,0,37.5402,137.3053,5,176353,966,21,284.3,7.78,8.215
21,2023,1,121,0,37.5402,137.3053,5,179458,967,21,280.5,8.68,8.495
