DayC,Hour,Latitude,Longitude,magnitud,profundidad,Electron_density_Ne,o+,NO,hmF2,foF2,tec_GIM,sismo
2017-09-01,01:00,14.7,261.98,0.0,0.0,490000000000.0,99.0,0.1,261.6,6.503,22.0,0.0
2017-09-01,02:00,14.7,261.98,0.0,0.0,310000000000.0,99.7,0.1,273.8,5.071,15.2,0.0
2017-09-01,03:00,14.7,261.98,0.0,0.0,204000000000.0,99.7,0.2,299.8,4.055,10.1,0.0
2017-09-01,04:00,14.7,261.98,0.0,0.0,150000000000.0,99.7,0.2,319.5,3.637,8.4,0.0
2017-09-01,05:00,14.7,261.98,0.0,0.0,139000000000.0,99.7,0.2,322.5,3.544,8.0,0.0
2017-09-01,06:00,14.7,261.98,0.0,0.0,144000000000.0,99.7,0.1,314.6,3.486,7.9,0.0
2017-09-01,07:00,14.7,261.98,0.0,0.0,150000000000.0,99.7,0.1,303.6,3.479,7.7,0.0
2017-09-01,08:00,14.7,261.98,3.7,64.4,153000000000.0,99.7,0.1,297.5,3.509,8.3,1.0
2017-09-01,09:00,14.7,261.98,0.0,0.0,136000000000.0,99.7,0.2,297.7,3.313,8.0,0.0
2017-09-01,10:00,14.7,261.98,0.0,0.0,106000000000.0,99.6,0.2,298.8,2.922,6.2,0.0
2017-09-01,11:00,14.7,261.98,3.5,148.9,105000000000.0,99.6,0.2,291.6,2.918,7.4,1.0
2017-09-01,12:00,14.7,261.98,0.0,0.0,165000000000.0,97.5,0.6,274.6,3.691,6.5,0.0
2017-09-01,13:00,14.7,261.98,4.4,100.0,265000000000.0,97.2,0.6,258.2,4.785,6.0,1.0
2017-09-01,14:00,14.7,261.98,3.8,176.6,345000000000.0,97.8,0.4,254.0,5.512,11.9,1.0
2017-09-01,15:00,14.7,261.98,0.0,0.0,406000000000.0,98.1,0.3,262.3,5.905,13.7,0.0
2017-09-01,16:00,14.7,261.98,0.0,0.0,510000000000.0,98.5,0.2,275.0,6.504,14.1,0.0
2017-09-01,17:00,14.7,261.98,3.5,93.0,688000000000.0,98.8,0.1,286.3,7.477,16.0,1.0
2017-09-01,18:00,14.7,261.98,0.0,0.0,892000000000.0,99.0,0.1,293.3,8.487,18.9,0.0
2017-09-01,19:00,14.7,261.98,0.0,0.0,1070000000000.0,99.2,0.1,293.7,9.28,23.3,0.0
2017-09-01,20:00,14.7,261.98,0.0,0.0,1190000000000.0,99.2,0.1,288.0,9.851,30.5,0.0
2017-09-01,21:00,14.7,261.98,3.4,63.7,1250000000000.0,99.2,0.1,281.9,10.116,32.2,1.0
2017-09-01,22:00,14.7,261.98,0.0,0.0,1180000000000.0,99.2,0.1,276.3,9.904,32.9,0.0
2017-09-01,23:00,14.7,261.98,0.0,0.0,990000000000.0,99.1,0.1,268.2,9.178,32.9,0.0
2017-09-02,01:00,14.7,261.98,0.0,0.0,499000000000.0,99.0,0.1,261.0,6.568,25.2,0.0
2017-09-02,02:00,14.7,261.98,0.0,0.0,314000000000.0,99.7,0.1,273.5,5.105,21.5,0.0
2017-09-02,03:00,14.7,261.98,0.0,0.0,206000000000.0,99.7,0.2,299.8,4.078,14.6,0.0
2017-09-02,04:00,14.7,261.98,3.7,50.0,151000000000.0,99.6,0.2,319.5,3.657,11.2,1.0
2017-09-02,05:00,14.7,261.98,0.0,0.0,140000000000.0,99.7,0.2,322.4,3.559,10.0,0.0
2017-09-02,06:00,14.7,261.98,0.0,0.0,145000000000.0,99.7,0.2,314.5,3.496,8.4,0.0
2017-09-02,07:00,14.7,261.98,3.5,93.7,150000000000.0,99.7,0.2,303.5,3.487,8.2,1.0
2017-09-02,08:00,14.7,261.98,0.0,0.0,153000000000.0,99.7,0.2,297.4,3.511,8.4,0.0
2017-09-02,09:00,14.7,261.98,4.1,105.8,136000000000.0,99.7,0.2,297.6,3.313,8.2,1.0
2017-09-02,10:00,14.7,261.98,3.4,127.0,106000000000.0,99.6,0.2,298.6,2.922,6.6,1.0
2017-09-02,10:00,14.7,261.98,3.8,44.4,106000000000.0,99.6,0.2,298.6,2.922,6.6,1.0
