Day,Hour of day,Latitude,Longitude,magnitud,Profundidad,Tec,Ne/cm-3,O+,N+,hmF2,foF2,VTEC,sismo
2021-09-04,01:00,16.84492,244.3,0.0,0.0,12.73,596493,988,11,266.6,8.253,26.9,0.0
2021-09-04,01:20,16.84492,244.3,0.0,0.0,11.55,546891,988,11,265.5,7.884,26.7,0.0
2021-09-04,01:30,16.84492,244.3,0.0,0.0,10.37,499141,988,11,265.0,7.5,27.7,0.0
2021-09-04,01:45,16.84492,244.3,0.0,0.0,9.23,453755,989,10,265.1,7.108,27.2,0.0
2021-09-04,02:00,16.84492,244.3,0.0,0.0,8.15,411174,989,10,265.7,6.713,26.8,0.0
2021-09-04,02:20,16.84492,244.3,0.0,0.0,7.16,371786,989,10,266.9,6.323,21.8,0.0
2021-09-04,02:30,16.84492,244.3,0.0,0.0,6.27,335921,990,9,268.6,5.945,20.5,0.0
2021-09-04,02:45,16.84492,244.3,0.0,0.0,5.49,303856,990,9,270.7,5.588,19.4,0.0
2021-09-04,3:00,16.84492,244.3,0.0,0.0,4.82,275787,990,8,273.2,5.257,18.7,0.0
2021-09-04,3:20,16.84492,244.3,0.0,0.0,4.27,251815,991,8,276.1,4.96,17.3,0.0
2021-09-04,3:30,16.84492,244.3,0.0,0.0,3.82,231935,991,8,279.2,4.701,16.2,0.0
2021-09-04,3:45,16.84492,244.3,0.0,0.0,3.46,216018,991,7,282.4,4.484,14.7,0.0
2021-09-04,04:00,16.84492,244.3,0.0,0.0,3.18,203817,992,7,285.8,4.31,13.3,0.0
2021-09-04,04:20,16.84492,244.3,0.0,0.0,2.98,194968,992,7,289.2,4.176,13.2,0.0
2021-09-04,4:30,16.84492,244.3,0.0,0.0,2.84,189005,992,6,292.5,4.079,12.6,0.0
2021-09-04,04:45,16.84492,244.3,0.0,0.0,2.74,185382,992,6,295.7,4.014,12.1,0.0
2021-09-04,5:00,16.84492,244.3,0.0,0.0,2.68,183501,993,6,298.7,3.973,12.1,0.0
2021-09-04,5:20,16.84492,244.3,0.0,0.0,2.73,193375,993,6,301.5,3.95,11.6,0.0
2021-09-04,5:30,16.84492,244.3,0.0,0.0,2.68,191730,993,6,303.9,3.936,11.4,0.0
2021-09-04,5:45,16.84492,244.3,0.0,0.0,2.65,190249,993,6,306.1,3.927,11.0,0.0
2021-09-04,06:00,16.84492,244.3,0.0,0.0,2.61,188593,993,6,307.9,3.917,10.3,0.0
2021-09-04,06:20,16.84492,244.3,0.0,0.0,2.58,186602,993,6,309.3,3.903,10.0,0.0
2021-09-04,06:30,16.84492,244.3,0.0,0.0,2.54,184288,993,6,310.4,3.885,9.9,0.0
2021-09-04,06:45,16.84492,244.3,0.0,0.0,2.5,181796,993,6,311.0,3.864,9.6,0.0
2021-09-04,07:00,16.84492,244.3,0.0,0.0,2.45,179350,993,6,311.3,3.841,9.2,0.0
2021-09-04,07:20,16.84492,244.3,3.5,16.1,2.41,177194,992,6,311.3,3.818,8.8,1.0
2021-09-04,07:30,16.84492,244.3,0.0,0.0,2.38,175527,992,6,310.9,3.798,9.2,0.0
2021-09-04,07:45,16.84492,244.3,0.0,0.0,2.36,174446,992,6,310.2,3.783,8.9,0.0
2021-09-04,08:00,16.84492,244.3,0.0,0.0,2.35,173907,992,6,309.2,3.771,8.8,0.0
2021-09-04,08:20,16.84492,244.3,0.0,0.0,2.34,173703,992,6,308.0,3.762,8.7,0.0
2021-09-04,08:30,16.84492,244.3,3.7,15.9,2.34,173475,992,6,306.6,3.753,9.0,1.0
2021-09-04,08:45,16.84492,244.3,0.0,0.0,2.33,172748,992,6,304.9,3.74,8.9,0.0
2021-09-04,09:00,16.84492,244.3,0.0,0.0,2.32,171012,992,6,303.1,3.716,8.2,0.0
2021-09-04,09:20,16.84492,244.3,0.0,0.0,2.3,167817,992,6,301.1,3.679,8.0,0.0
2021-09-04,09:30,16.84492,244.3,0.0,0.0,2.2,156415,992,6,299.0,3.625,8.4,0.0
2021-09-04,09:45,16.84492,244.3,0.0,0.0,2.13,149393,991,6,296.8,3.551,8.2,0.0
2021-09-04,10:00,16.84492,244.3,0.0,0.0,2.05,140887,991,6,294.5,3.46,7.8,0.0
2021-09-04,10:20,16.84492,244.3,0.0,0.0,1.95,131366,991,7,292.1,3.355,8.5,0.0
2021-09-04,10:30,16.84492,244.3,0.0,0.0,1.84,121506,991,7,289.7,3.244,8.1,0.0
2021-09-04,10:45,16.84492,244.3,0.0,0.0,1.74,112084,990,7,287.2,3.136,7.4,0.0
2021-09-04,11:00,16.84492,244.3,0.0,0.0,1.66,103876,990,8,284.6,3.041,8.7,0.0
2021-09-04,11:20,16.84492,244.3,0.0,0.0,1.6,97567,990,8,282.0,2.973,8.8,0.0
2021-09-04,11:30,16.84492,244.3,0.0,0.0,1.58,93713,989,8,279.4,2.942,8.8,0.0
2021-09-04,11:45,16.84492,244.3,0.0,0.0,1.6,92734,989,9,276.8,2.958,8.8,0.0
2021-09-04,12:00,16.84492,244.3,0.0,0.0,1.69,94939,988,9,274.1,3.028,8.5,0.0
2021-09-04,12:20,16.84492,244.3,0.0,0.0,1.84,100548,988,10,271.5,3.154,8.2,0.0
2021-09-04,12:30,16.84492,244.3,0.0,0.0,2.05,109679,987,10,268.9,3.334,8.2,0.0
2021-09-04,12:45,16.84492,244.3,0.0,0.0,2.36,122315,987,10,266.4,3.564,8.4,0.0
2021-09-04,13:00,16.84492,244.3,0.0,0.0,2.74,138247,986,11,264.0,3.834,8.1,0.0
2021-09-04,13:20,16.84492,244.3,0.0,0.0,3.22,157030,986,11,261.8,4.133,7.5,0.0
2021-09-04,13:30,16.84492,244.3,3.9,49.4,3.77,177976,985,12,259.7,4.447,8.2,1.0
2021-09-04,13:45,16.84492,244.3,0.0,0.0,4.39,200211,985,12,257.8,4.762,8.4,0.0
2021-09-04,14:00,16.84492,244.3,0.0,0.0,5.03,222772,985,12,256.2,5.065,7.5,0.0
2021-09-04,14:20,16.84492,244.3,0.0,0.0,5.67,244754,984,13,254.9,5.348,7.2,0.0
2021-09-04,14:30,16.84492,244.3,0.0,0.0,6.27,265442,984,13,253.9,5.602,7.7,0.0
2021-09-04,14:45,16.84492,244.3,0.0,0.0,6.84,284431,984,13,253.4,5.826,8.6,0.0
2021-09-04,15:00,16.84492,244.3,0.0,0.0,7.35,301670,984,14,253.2,6.019,9.7,0.0
2021-09-04,15:20,16.84492,244.3,0.0,0.0,7.83,317469,983,14,253.5,6.185,11.2,0.0
2021-09-04,15:30,16.84492,244.3,0.0,0.0,8.27,332437,983,14,254.2,6.332,12.3,0.0
2021-09-04,15:45,16.84492,244.3,0.0,0.0,8.7,347397,983,14,255.4,6.468,13.9,0.0
2021-09-04,16:00,16.84492,244.3,0.0,0.0,9.12,363270,983,14,257.1,6.601,14.9,0.0
2021-09-04,16:20,16.84492,244.3,0.0,0.0,9.57,380973,983,14,259.3,6.741,14.7,0.0
2021-09-04,16:30,16.84492,244.3,0.0,0.0,10.05,401313,984,14,261.9,6.893,14.4,0.0
2021-09-04,16:45,16.84492,244.3,0.0,0.0,10.64,424902,984,14,264.9,7.062,14.5,0.0
2021-09-04,17:00,16.84492,244.3,0.0,0.0,11.23,452081,984,14,268.3,7.251,14.6,0.0
2021-09-04,17:20,16.84492,244.3,0.0,0.0,11.89,482863,984,14,272.0,7.458,14.9,0.0
2021-09-04,17:30,16.84492,244.3,0.0,0.0,12.6,516906,984,14,276.0,7.681,15.8,0.0
2021-09-04,17:45,16.84492,244.3,0.0,0.0,13.36,553526,984,14,280.2,7.915,16.5,0.0
2021-09-04,18:00,16.84492,244.3,0.0,0.0,14.14,591754,985,14,284.4,8.155,17.0,0.0
2021-09-04,18:20,16.84492,244.3,0.0,0.0,14.94,630445,985,14,288.6,8.394,16.9,0.0
2021-09-04,18:30,16.84492,244.3,0.0,0.0,15.72,668441,985,14,292.8,8.627,17.4,0.0
2021-09-04,18:45,16.84492,244.3,0.0,0.0,16.48,704718,985,14,296.8,8.851,18.1,0.0
